ŽÀ•”,‹••”
0,0
0.000152588,0
0,0
-0.000396729,0
-0.000549316,0
-0.000457764,0
-0.000335693,0
-0.000518799,0
-0.00088501,0
-0.000915527,0
-0.000610352,0
-0.000579834,0
-0.000823975,0
-0.000915527,0
-0.000701904,0
-0.000610352,0
-0.000701904,0
-0.00088501,0
-0.000762939,0
-0.000518799,0
-0.000671387,0
-0.000976563,0
-0.00115967,0
-0.000976563,0
-0.00088501,0
-0.0010376,0
-0.00109863,0
-0.000976563,0
-0.000762939,0
-0.000823975,0
-0.00100708,0
-0.000854492,0
-0.000640869,0
-0.000488281,0
-0.000640869,0
-0.000701904,0
-0.000396729,0
-0.000152588,0
-0.000213623,0
-0.000457764,0
-0.000427246,0
-0.000213623,0
-0.000366211,0
-0.000671387,0
-0.000732422,0
-0.000549316,0
-0.000671387,0
-0.00100708,0
-0.0012207,0
-0.00106812,0
-0.000915527,0
-0.0010376,0
-0.00125122,0
-0.00125122,0
-0.0010376,0
-0.00106812,0
-0.0012207,0
-0.00128174,0
-0.000976563,0
-0.000793457,0
-0.000915527,0
-0.00109863,0
-0.00100708,0
-0.000793457,0
-0.000823975,0
-0.0012207,0
-0.0012207,0
-0.00100708,0
-0.00109863,0
-0.00128174,0
-0.00131226,0
-0.00128174,0
-0.00109863,0
-0.00109863,0
-0.0012207,0
-0.000976563,0
-0.000671387,0
-0.000549316,0
-0.000762939,0
-0.000762939,0
-0.000549316,0
-0.000244141,0
-0.000244141,0
-0.000366211,0
-0.00012207,0
0.000152588,0
0.000213623,0
3.05176e-05,0
-3.05176e-05,0
0.000183105,0
0.000213623,0
-9.15527e-05,0
-0.000244141,0
-0.00012207,0
0,0
-9.15527e-05,0
-0.000427246,0
-0.000274658,0
0,0
0,0
-0.000152588,0
-0.00012207,0
0.00012207,0
0.000244141,0
0,0
-0.000274658,0
-0.000183105,0
-3.05176e-05,0
-0.00012207,0
-0.000518799,0
-0.000610352,0
-0.000457764,0
-0.000274658,0
-0.000488281,0
-0.000579834,0
-0.000396729,0
-0.000183105,0
-0.00012207,0
-0.000305176,0
-0.000244141,0
3.05176e-05,0
0.00012207,0
0,0
0,0
0.000366211,0
0.000640869,0
0.000518799,0
0.000335693,0
0.000457764,0
0.000732422,0
0.00088501,0
0.000732422,0
0.000671387,0
0.000976563,0
0.00112915,0
0.000976563,0
0.000762939,0
0.000732422,0
0.0010376,0
0.00100708,0
0.000701904,0
0.000671387,0
0.000793457,0
0.000854492,0
0.000732422,0
0.000579834,0
0.000823975,0
0.000915527,0
0.00088501,0
0.000793457,0
0.000823975,0
0.0010376,0
0.00100708,0
0.000793457,0
0.000701904,0
0.000823975,0
0.000976563,0
0.000671387,0
0.000396729,0
0.000488281,0
0.000701904,0
0.000640869,0
0.000457764,0
0.000488281,0
0.000793457,0
0.00100708,0
0.00088501,0
0.000854492,0
0.00100708,0
0.00125122,0
0.00128174,0
0.00109863,0
0.00119019,0
0.00140381,0
0.00152588,0
0.00128174,0
0.00106812,0
0.00128174,0
0.00137329,0
0.00128174,0
0.00109863,0
0.00106812,0
0.00128174,0
0.00115967,0
0.000762939,0
0.000762939,0
0.00100708,0
0.00119019,0
0.00100708,0
0.000946045,0
0.00112915,0
0.00125122,0
0.00119019,0
0.000915527,0
0.00088501,0
0.00112915,0
0.0012207,0
0.000946045,0
0.000671387,0
0.000793457,0
0.000823975,0
0.000701904,0
0.000396729,0
0.000427246,0
0.000640869,0
0.000701904,0
0.000488281,0
0.000488281,0
0.000762939,0
0.00100708,0
0.00088501,0
0.000549316,0
0.000732422,0
0.000946045,0
0.00088501,0
0.000640869,0
0.000579834,0
0.000793457,0
0.000915527,0
0.000671387,0
0.000396729,0
0.000518799,0
0.000732422,0
0.000549316,0
0.000152588,0
0.00012207,0
0.000274658,0
0.000335693,0
0.000183105,0
6.10352e-05,0
0.000274658,0
0.000457764,0
0.000305176,0
9.15527e-05,0
6.10352e-05,0
0.000244141,0
0.000244141,0
0,0
-9.15527e-05,0
9.15527e-05,0
0.000213623,0
0,0
-0.000183105,0
-6.10352e-05,0
-6.10352e-05,0
-0.00012207,0
-0.000396729,0
-0.000396729,0
-0.000244141,0
-0.000152588,0
-0.000427246,0
-0.000518799,0
-0.000335693,0
-6.10352e-05,0
-0.000152588,0
-0.000366211,0
-0.000305176,0
-9.15527e-05,0
-3.05176e-05,0
-0.000366211,0
-0.000518799,0
-0.000366211,0
-0.000183105,0
-0.000396729,0
-0.000640869,0
-0.000610352,0
-0.000457764,0
-0.000457764,0
-0.000671387,0
-0.000732422,0
-0.000610352,0
-0.000518799,0
-0.000671387,0
-0.000946045,0
-0.000732422,0
-0.000457764,0
-0.000549316,0
-0.000732422,0
-0.000579834,0
-0.000335693,0
-0.000366211,0
-0.000640869,0
-0.000823975,0
-0.000823975,0
-0.000762939,0
-0.00088501,0
-0.0010376,0
-0.00109863,0
-0.000915527,0
-0.000823975,0
-0.000976563,0
-0.00115967,0
-0.00088501,0
-0.000823975,0
-0.000732422,0
-0.00100708,0
-0.000732422,0
-0.000549316,0
-0.000610352,0
-0.000732422,0
-0.000732422,0
-0.000427246,0
-0.000213623,0
-0.000488281,0
-0.000610352,0
-0.000610352,0
-0.000457764,0
-0.000518799,0
-0.000640869,0
-0.000640869,0
-0.000457764,0
-0.000488281,0
-0.000610352,0
-0.000610352,0
-0.000396729,0
-0.000244141,0
-0.000274658,0
-0.000427246,0
-0.000183105,0
9.15527e-05,0
0.000152588,0
-3.05176e-05,0
0,0
0.000213623,0
0.000244141,0
3.05176e-05,0
-0.00012207,0
-9.15527e-05,0
-3.05176e-05,0
-0.00012207,0
-0.000366211,0
-0.000335693,0
0,0
-3.05176e-05,0
-0.000244141,0
-0.000335693,0
-9.15527e-05,0
6.10352e-05,0
6.10352e-05,0
-0.00012207,0
-3.05176e-05,0
0.000244141,0
0.000396729,0
0.000213623,0
6.10352e-05,0
0.000335693,0
0.000457764,0
0.000244141,0
0,0
0.000274658,0
0.000396729,0
0.000427246,0
3.05176e-05,0
9.15527e-05,0
0.000366211,0
0.000366211,0
0.000152588,0
0.00012207,0
0.000305176,0
0.000488281,0
0.000366211,0
0.000183105,0
0.000366211,0
0.000823975,0
0.00088501,0
0.000793457,0
0.000701904,0
0.00088501,0
0.0012207,0
0.00115967,0
0.00100708,0
0.00109863,0
0.00134277,0
0.00140381,0
0.00128174,0
0.00106812,0
0.00109863,0
0.00115967,0
0.000915527,0
0.000610352,0
0.000732422,0
0.000762939,0
0.000549316,0
0.000213623,0
0.000335693,0
0.000579834,0
0.000579834,0
0.000396729,0
0.000488281,0
0.000762939,0
0.000976563,0
0.00088501,0
0.000762939,0
0.000762939,0
0.000976563,0
0.0010376,0
0.000793457,0
0.000701904,0
0.000946045,0
0.00100708,0
0.000732422,0
0.000518799,0
0.000671387,0
0.000915527,0
0.00088501,0
0.000701904,0
0.000823975,0
0.0012207,0
0.00131226,0
0.00115967,0
0.00112915,0
0.00134277,0
0.00158691,0
0.00143433,0
0.00106812,0
0.00109863,0
0.00128174,0
0.00119019,0
0.000976563,0
0.000762939,0
0.000762939,0
0.000854492,0
0.000640869,0
0.000427246,0
0.000488281,0
0.000793457,0
0.000549316,0
0.000366211,0
0.000305176,0
0.000488281,0
0.000549316,0
0.000335693,0
9.15527e-05,0
0.000274658,0
0.000396729,0
0.000305176,0
0,0
6.10352e-05,0
0.000183105,0
0.000152588,0
-0.00012207,0
-0.000152588,0
0,0
0.000152588,0
0.000152588,0
3.05176e-05,0
9.15527e-05,0
0.000366211,0
0.000396729,0
0.000213623,0
0.00012207,0
0.000396729,0
0.000610352,0
0.000396729,0
0.000244141,0
0.000305176,0
0.000488281,0
0.000366211,0
3.05176e-05,0
0,0
0.000183105,0
0.00012207,0
-0.000244141,0
-0.000457764,0
-0.000305176,0
-0.000213623,0
-0.000396729,0
-0.000671387,0
-0.000610352,0
-0.000518799,0
-0.000579834,0
-0.00088501,0
-0.000946045,0
-0.000762939,0
-0.000518799,0
-0.000640869,0
-0.000823975,0
-0.000762939,0
-0.000549316,0
-0.000701904,0
-0.000946045,0
-0.000823975,0
-0.000640869,0
-0.000640869,0
-0.000854492,0
-0.000976563,0
-0.000976563,0
-0.000671387,0
-0.000793457,0
-0.00100708,0
-0.000854492,0
-0.000427246,0
-0.000305176,0
-0.000457764,0
-0.000518799,0
-0.000305176,0
-9.15527e-05,0
-0.000213623,0
-0.000396729,0
-0.000335693,0
-0.00012207,0
-0.000183105,0
-0.000549316,0
-0.000610352,0
-0.000518799,0
-0.000488281,0
-0.000793457,0
-0.0010376,0
-0.00106812,0
-0.000915527,0
-0.0010376,0
-0.00134277,0
-0.00125122,0
-0.000946045,0
-0.000976563,0
-0.00119019,0
-0.0012207,0
-0.000946045,0
-0.000762939,0
-0.000976563,0
-0.00115967,0
-0.00106812,0
-0.00088501,0
-0.00088501,0
-0.00115967,0
-0.00119019,0
-0.000915527,0
-0.000854492,0
-0.00109863,0
-0.00125122,0
-0.0010376,0
-0.000854492,0
-0.000915527,0
-0.00115967,0
-0.00106812,0
-0.000610352,0
-0.000488281,0
-0.000671387,0
-0.000671387,0
-0.000518799,0
-0.000274658,0
-0.000305176,0
